Life Expectancy,Region,Sex,Period
76.7,Newport,Male,2004
80.7,Newport,Female,2004
77.1,Newport,Male,2005
80.9,Newport,Female,2005
77.0,Newport,Male,2006
81.5,Newport,Female,2006
78.7,Cardiff,Male,2004
83.3,Cardiff,Female,2004
78.6,Cardiff,Male,2005
83.7,Cardiff,Female,2005
78.7,Cardiff,Male,2006
83.4,Cardiff,Female,2006
76.6,Monmouthshire,Male,2004
81.3,Monmouthshire,Female,2004
76.5,Monmouthshire,Male,2005
81.5,Monmouthshire,Female,2005
76.6,Monmouthshire,Male,2006
81.7,Monmouthshire,Female,2006
75.5,Merthyr-Tydfil,Male,2004
79.1,Merthyr-Tydfil,Female,2004
75.5,Merthyr-Tydfil,Male,2005
79.4,Merthyr-Tydfil,Female,2005
74.9,Merthyr-Tydfil,Male,2006
79.6,Merthyr-Tydfil,Female,2006